"3354000,1404"
"Jack of Hearts | Ten of Hearts,15236,2730"
"Four of Spades | Two of Hearts,15489,1236"
"King of Diamonds | Seven of Clubs,24471,2995"
"King of Hearts | King of Clubs,12314,4089"
"Seven of Diamonds | Two of Hearts,15607,1150"
"Queen of Clubs | Eight of Diamonds,24505,3590"
"King of Diamonds | Jack of Hearts,15295,2602"
"Queen of Clubs | Seven of Spades,24600,3266"
"Jack of Hearts | Five of Clubs,24366,2254"
"Jack of Hearts | Six of Hearts,15529,1886"
"Ace of Spades | Five of Spades,15420,2415"
"Ten of Diamonds | Three of Clubs,24433,2023"
"Eight of Spades | Seven of Spades,15368,2105"
"Four of Clubs | Two of Spades,24427,1811"
"King of Spades | Five of Hearts,15547,1774"
"Jack of Diamonds | Nine of Diamonds,15476,2405"
"Seven of Clubs | Seven of Hearts,12008,1750"
"Ace of Diamonds | Ace of Spades,7613,2702"
"Three of Spades | Two of Clubs,24564,1662"
"King of Diamonds | Three of Spades,15385,1674"
"King of Spades | Six of Clubs,24799,2905"
"Queen of Diamonds | Two of Spades,15569,1553"
"Six of Clubs | Four of Hearts,24324,2307"
"Queen of Diamonds | Jack of Spades,15471,2656"
"Eight of Spades | Two of Hearts,15373,1191"
"Seven of Spades | Three of Spades,15233,1616"
"Ten of Spades | Five of Hearts,15369,1488"
"Ten of Diamonds | Four of Diamonds,15483,1755"
"Jack of Diamonds | Eight of Hearts,15390,1937"
"King of Hearts | Six of Diamonds,15444,1926"
"Eight of Hearts | Eight of Diamonds,7379,1414"
"Six of Diamonds | Two of Clubs,24069,1685"
"King of Spades | Four of Clubs,24269,2623"
"King of Hearts | Queen of Hearts,15433,3009"
"Nine of Diamonds | Nine of Clubs,12113,2139"
"Ace of Clubs | Ten of Spades,24322,5158"
"Eight of Clubs | Six of Clubs,39036,7979"
"Jack of Diamonds | Three of Clubs,24331,2132"
"Nine of Clubs | Four of Diamonds,24494,2188"
"Eight of Spades | Six of Spades,15485,2050"
"Queen of Clubs | Four of Diamonds,24349,3021"
"Ace of Spades | Jack of Hearts,15256,2752"
"King of Diamonds | Five of Hearts,15365,1827"
"Nine of Clubs | Three of Diamonds,24602,2052"
"Ten of Clubs | Six of Clubs,39018,8162"
"Queen of Hearts | Six of Hearts,15215,2008"
"Eight of Clubs | Eight of Diamonds,12386,1964"
"Ace of Clubs | Eight of Hearts,24029,4237"
"Seven of Hearts | Seven of Clubs,12249,1785"
"Six of Diamonds | Two of Spades,15376,1173"
"Jack of Clubs | Six of Diamonds,24715,2897"
"Nine of Clubs | Six of Hearts,24370,2691"
"Jack of Clubs | Seven of Diamonds,24363,3029"
"Three of Spades | Two of Spades,15560,1551"
"Jack of Hearts | Ten of Spades,15440,2529"
"Eight of Clubs | Four of Clubs,39212,7043"
"Ace of Diamonds | Six of Hearts,15396,2054"
"Ten of Clubs | Seven of Diamonds,24259,2999"
"Eight of Hearts | Six of Hearts,15388,2025"
"King of Clubs | Two of Spades,24305,3147"
"Five of Spades | Three of Hearts,15301,1490"
"Six of Spades | Five of Spades,15411,2040"
"Ten of Clubs | Two of Diamonds,24223,2274"
"Ten of Diamonds | Five of Hearts,15632,1570"
"Queen of Diamonds | Three of Clubs,24655,2259"
"Ten of Spades | Eight of Spades,15492,2314"
"Ten of Clubs | Ten of Spades,12421,2507"
"Queen of Hearts | Eight of Diamonds,15351,1930"
"Jack of Spades | Ten of Hearts,15535,2522"
"Eight of Spades | Seven of Clubs,24462,2892"
"Ten of Hearts | Eight of Hearts,15394,2396"
"Jack of Hearts | Eight of Hearts,15319,2252"
"Queen of Spades | Six of Hearts,15338,1747"
"Nine of Spades | Eight of Spades,15408,2221"
"Ten of Hearts | Three of Hearts,15345,1661"
"Ace of Spades | King of Hearts,15285,3207"
"Jack of Hearts | Four of Spades,15377,1534"
"Nine of Diamonds | Six of Diamonds,15352,1959"
"Five of Spades | Four of Diamonds,15238,1605"
"Ten of Spades | Two of Diamonds,15183,1349"
"Jack of Clubs | Five of Diamonds,24517,2790"
"Queen of Clubs | Ten of Hearts,24271,4469"
"Ace of Spades | Jack of Diamonds,15294,2815"
"Queen of Spades | Jack of Spades,15411,2879"
"Six of Hearts | Three of Spades,15351,1308"
"King of Diamonds | Eight of Diamonds,15216,2264"
"Nine of Clubs | Three of Spades,24504,2017"
"Ace of Hearts | Seven of Spades,15368,2118"
"Eight of Hearts | Three of Hearts,15226,1518"
"Four of Diamonds | Two of Diamonds,15257,1589"
"Queen of Diamonds | Nine of Clubs,24769,3532"
"Eight of Spades | Eight of Diamonds,7773,1385"
"King of Clubs | Seven of Clubs,39010,10009"
"Seven of Clubs | Three of Hearts,24399,1975"
"Ace of Diamonds | Seven of Hearts,15435,2109"
"Queen of Clubs | Eight of Clubs,39237,9489"
"Two of Hearts | Two of Diamonds,7696,1165"
"Queen of Clubs | Nine of Diamonds,24183,3839"
"Six of Spades | Three of Hearts,15384,1384"
"Queen of Diamonds | Jack of Clubs,24525,4501"
"Ace of Spades | Ace of Hearts,7825,2876"
"Ten of Clubs | Four of Diamonds,24790,2446"
"King of Clubs | King of Hearts,12334,4007"
"Ten of Clubs | Nine of Hearts,24583,3872"
"Three of Diamonds | Two of Clubs,24677,1772"
"Eight of Diamonds | Seven of Hearts,15504,1869"
"Ace of Diamonds | Queen of Spades,15241,2882"
"Jack of Hearts | Jack of Clubs,12069,2894"
"Eight of Diamonds | Three of Clubs,24365,1704"
"Queen of Clubs | Eight of Hearts,24418,3608"
"Ten of Spades | Six of Spades,15290,1960"
"Eight of Diamonds | Six of Spades,15351,1704"
"Four of Diamonds | Four of Clubs,12038,1428"
"Queen of Clubs | Jack of Diamonds,24420,4595"
"Queen of Clubs | Six of Diamonds,24517,3196"
"Ten of Spades | Six of Hearts,15402,1623"
"Ace of Spades | Three of Hearts,15224,1990"
"Ace of Diamonds | Eight of Clubs,24595,3485"
"Ten of Diamonds | Four of Clubs,24282,2125"
"Eight of Clubs | Five of Spades,24318,2455"
"Ace of Clubs | Jack of Clubs,39195,12272"
"Ten of Hearts | Six of Diamonds,15414,1667"
"Seven of Clubs | Six of Spades,24516,2801"
"King of Spades | Two of Hearts,15501,1633"
"Queen of Spades | Two of Clubs,24408,2264"
"King of Diamonds | Five of Spades,15319,1848"
"Five of Hearts | Five of Clubs,11981,1500"
"Ace of Hearts | Ace of Spades,7597,2757"
"Six of Diamonds | Two of Diamonds,15346,1510"
"Nine of Spades | Four of Clubs,24810,1938"
"Jack of Spades | Six of Diamonds,15347,1605"
"Ace of Hearts | King of Hearts,15367,3454"
"Two of Hearts | Two of Spades,7682,1133"
"Seven of Spades | Four of Diamonds,15405,1411"
"Seven of Hearts | Six of Diamonds,15324,1705"
"Eight of Spades | Six of Diamonds,15445,1768"
"Seven of Clubs | Four of Spades,24468,2257"
"Jack of Spades | Two of Clubs,24091,1972"
"Nine of Diamonds | Five of Spades,15380,1445"
"Nine of Hearts | Four of Diamonds,15155,1334"
"Queen of Hearts | Two of Hearts,15509,1859"
"Two of Diamonds | Two of Hearts,7588,1060"
"King of Diamonds | Four of Spades,15489,1745"
"Six of Hearts | Three of Clubs,24380,1979"
"King of Clubs | Eight of Spades,24545,3882"
"Queen of Hearts | Queen of Spades,7788,2120"
"Seven of Spades | Seven of Clubs,12149,1695"
"Three of Diamonds | Two of Spades,15312,1097"
"Ace of Spades | Eight of Clubs,24577,3426"
"Seven of Diamonds | Two of Clubs,24341,1596"
"Jack of Spades | Four of Hearts,15264,1540"
"Ace of Clubs | King of Clubs,39304,13229"
"King of Clubs | Six of Hearts,24436,3683"
"Nine of Hearts | Four of Spades,15680,1327"
"King of Hearts | Eight of Hearts,15204,2318"
"Queen of Clubs | Queen of Spades,12269,3274"
"Three of Hearts | Two of Spades,15485,1145"
"King of Diamonds | Jack of Clubs,24803,4635"
"Ten of Spades | Ten of Diamonds,7706,1717"
"Jack of Diamonds | Two of Diamonds,15326,1689"
"Queen of Spades | Six of Spades,15703,2053"
"Nine of Hearts | Nine of Spades,7820,1588"
"Queen of Hearts | Nine of Hearts,15176,2410"
"Queen of Hearts | Eight of Spades,15441,1990"
"Ace of Spades | Seven of Clubs,24177,3288"
"Six of Diamonds | Two of Hearts,15568,1271"
"Jack of Spades | Eight of Diamonds,15345,1915"
"Ace of Clubs | Seven of Spades,24845,4345"
"King of Spades | Jack of Hearts,15207,2638"
"Ten of Spades | Seven of Hearts,15293,1719"
"Ten of Hearts | Eight of Diamonds,15429,1993"
"Queen of Clubs | Two of Spades,24537,2786"
"Nine of Diamonds | Two of Diamonds,15172,1522"
"King of Hearts | Queen of Diamonds,15184,2810"
"Ace of Spades | Six of Hearts,15389,2129"
"Five of Hearts | Four of Hearts,15389,1945"
"Ace of Hearts | Queen of Spades,15163,2928"
"Ten of Diamonds | Four of Hearts,15411,1480"
"Nine of Clubs | Six of Diamonds,24431,2629"
"King of Spades | Eight of Clubs,24275,3150"
"Ace of Clubs | Seven of Hearts,24767,4219"
"Ace of Diamonds | Queen of Clubs,24389,5028"
"Ten of Clubs | Four of Hearts,24480,2417"
"Five of Clubs | Four of Hearts,24259,2384"
"Six of Diamonds | Six of Hearts,7728,1333"
"Ace of Hearts | Four of Hearts,15459,2339"
"Jack of Spades | Six of Spades,15188,1923"
"Nine of Spades | Three of Spades,15327,1589"
"Seven of Spades | Three of Clubs,24292,1892"
"Jack of Spades | Ten of Diamonds,15302,2490"
"King of Spades | Queen of Diamonds,15467,2862"
"Four of Clubs | Two of Hearts,24219,1911"
"Nine of Hearts | Eight of Hearts,15551,2278"
"Eight of Hearts | Seven of Clubs,24472,2946"
"Jack of Diamonds | Four of Hearts,15386,1489"
"King of Spades | Two of Diamonds,15258,1620"
"Ten of Spades | Seven of Diamonds,15437,1794"
"Ten of Clubs | Ten of Diamonds,12251,2486"
"Ace of Diamonds | Four of Clubs,24349,3243"
"Eight of Hearts | Two of Clubs,24637,1568"
"Seven of Diamonds | Six of Spades,15575,1746"
"Queen of Spades | Three of Hearts,15390,1633"
"King of Clubs | Four of Diamonds,24648,3486"
"Two of Spades | Two of Clubs,12200,1409"
"Ten of Clubs | Five of Hearts,24507,2483"
"King of Clubs | Four of Clubs,39307,9459"
"Six of Hearts | Five of Diamonds,15492,1720"
"Queen of Spades | Four of Diamonds,15372,1576"
"Six of Diamonds | Six of Clubs,12142,1636"
"Nine of Diamonds | Three of Spades,15479,1281"
"Queen of Spades | Jack of Hearts,15479,2645"
"Two of Diamonds | Two of Spades,7687,1098"
"Queen of Clubs | Three of Diamonds,24649,2938"
"Ten of Clubs | Six of Hearts,24529,2717"
"Seven of Spades | Five of Clubs,24549,2443"
"Queen of Clubs | Nine of Hearts,24647,3916"
"Ace of Diamonds | Four of Hearts,15392,2105"
"Seven of Clubs | Four of Clubs,39173,7288"
"Seven of Clubs | Seven of Diamonds,12363,1789"
"Four of Clubs | Two of Diamonds,24293,1946"
"King of Diamonds | Three of Diamonds,15273,2000"
"Jack of Diamonds | Seven of Hearts,15354,1768"
"Jack of Clubs | Five of Hearts,24432,2792"
"Seven of Spades | Six of Hearts,15190,1743"
"Queen of Spades | Two of Diamonds,15318,1546"
"Queen of Hearts | Eight of Hearts,15449,2316"
"Ace of Spades | Four of Hearts,15137,2014"
"Nine of Hearts | Six of Clubs,24254,2566"
"Nine of Diamonds | Six of Hearts,15417,1685"
"King of Clubs | Six of Clubs,38916,9735"
"Queen of Diamonds | Two of Diamonds,15423,1910"
"Nine of Spades | Eight of Hearts,15313,1945"
"Queen of Hearts | Seven of Clubs,24218,2803"
"Ten of Diamonds | Six of Diamonds,15307,1974"
"Nine of Diamonds | Two of Spades,15407,1230"
"Five of Spades | Two of Spades,15315,1623"
"Queen of Hearts | Jack of Hearts,15387,2893"
"King of Hearts | Seven of Clubs,24426,2951"
"Jack of Spades | Three of Hearts,15350,1461"
"Queen of Clubs | Seven of Diamonds,24508,3275"
"Five of Clubs | Five of Hearts,12171,1508"
"Jack of Hearts | Nine of Hearts,15339,2427"
"Eight of Diamonds | Three of Spades,15367,1192"
"Eight of Spades | Three of Hearts,15331,1183"
"Ace of Spades | King of Diamonds,15392,3137"
"King of Diamonds | Queen of Spades,15363,2778"
"King of Diamonds | Four of Diamonds,15492,2158"
"Five of Hearts | Three of Spades,15223,1465"
"Queen of Hearts | Four of Spades,15292,1550"
"Five of Diamonds | Four of Diamonds,15169,1930"
"Queen of Clubs | Ten of Spades,24526,4638"
"King of Hearts | Five of Diamonds,15527,1940"
"Queen of Diamonds | Four of Hearts,15317,1602"
"Nine of Diamonds | Seven of Spades,15303,1804"
"King of Clubs | Three of Diamonds,24476,3379"
"Eight of Clubs | Two of Diamonds,24446,1810"
"Seven of Hearts | Two of Clubs,24553,1553"
"King of Diamonds | Ten of Hearts,15272,2554"
"Seven of Clubs | Three of Diamonds,24167,1890"
"Eight of Hearts | Seven of Diamonds,15502,1904"
"Ace of Diamonds | Six of Spades,15531,1957"
"Jack of Spades | Jack of Clubs,12068,2849"
"Ten of Diamonds | Nine of Diamonds,15384,2486"
"Jack of Clubs | Seven of Clubs,38908,8683"
"Six of Clubs | Five of Clubs,38965,7702"
"Ace of Diamonds | Seven of Clubs,24164,3261"
"Queen of Spades | Ten of Spades,15322,2722"
"Eight of Clubs | Eight of Spades,12491,1977"
"Ace of Diamonds | Five of Diamonds,15201,2370"
"Seven of Hearts | Two of Diamonds,15425,1153"
"King of Hearts | Ten of Diamonds,15587,2540"
"Six of Clubs | Four of Clubs,39323,7246"
"Eight of Spades | Three of Clubs,24214,1695"
"Ace of Clubs | Ten of Hearts,24357,4968"
"Six of Hearts | Two of Clubs,24326,1637"
"Ace of Hearts | Jack of Spades,15381,2705"
"Queen of Spades | Three of Clubs,24509,2343"
"Ace of Hearts | Jack of Diamonds,15334,2761"
"Seven of Hearts | Three of Spades,15469,1242"
"Nine of Clubs | Five of Spades,24478,2399"
"Ten of Clubs | Five of Spades,24348,2538"
"Ace of Spades | Four of Diamonds,15514,2016"
"Ten of Clubs | Seven of Spades,24509,3132"
"Queen of Spades | Nine of Spades,15275,2461"
"Ace of Diamonds | King of Spades,15408,3131"
"Queen of Hearts | Three of Clubs,24222,2282"
"Eight of Spades | Six of Hearts,15430,1727"
"Seven of Clubs | Five of Diamonds,24183,2532"
"Nine of Hearts | Seven of Hearts,15282,2063"
"Jack of Diamonds | Five of Diamonds,15537,1969"
"Ace of Diamonds | Six of Diamonds,15389,2407"
"Ten of Spades | Five of Spades,15499,1877"
"Queen of Clubs | Jack of Clubs,39245,11161"
"King of Diamonds | Three of Clubs,24169,2463"
"Seven of Spades | Two of Spades,15486,1451"
"King of Hearts | Three of Hearts,15517,1960"
"Nine of Spades | Six of Hearts,15263,1670"
"Ten of Diamonds | Eight of Clubs,24305,3058"
"Queen of Hearts | Nine of Spades,15103,2106"
"Jack of Clubs | Nine of Hearts,24484,3859"
"Nine of Spades | Seven of Spades,15357,2105"
"Queen of Spades | Two of Spades,15533,1913"
"Jack of Diamonds | Ten of Diamonds,15627,2762"
"Ace of Diamonds | Ten of Spades,15318,2618"
"Four of Clubs | Four of Diamonds,12517,1558"
"King of Hearts | Queen of Spades,15305,2747"
"Queen of Clubs | Nine of Spades,24623,3968"
"Five of Spades | Four of Clubs,24380,2461"
"King of Spades | Ten of Spades,15688,2910"
"Four of Diamonds | Two of Clubs,24462,1718"
"Queen of Hearts | Queen of Clubs,12243,3318"
"Jack of Spades | Three of Clubs,24397,2122"
"Nine of Hearts | Two of Spades,15204,1162"
"Two of Clubs | Two of Spades,12385,1386"
"Ace of Spades | Queen of Spades,15353,3186"
"Nine of Clubs | Two of Spades,24364,1947"
"Ten of Diamonds | Two of Clubs,24536,1981"
"King of Diamonds | Four of Clubs,24226,2617"
"Jack of Hearts | Three of Spades,15487,1472"
"Ten of Hearts | Nine of Diamonds,15610,2220"
"Seven of Hearts | Three of Clubs,24440,1845"
"Five of Clubs | Five of Spades,12260,1589"
"King of Hearts | Eight of Clubs,24168,3145"
"Eight of Diamonds | Four of Diamonds,15450,1698"
"Ace of Spades | Three of Spades,15318,2261"
"Six of Hearts | Six of Clubs,12167,1632"
"Six of Clubs | Three of Diamonds,24178,2012"
"Queen of Spades | Nine of Hearts,15807,2232"
"King of Diamonds | Jack of Spades,15428,2587"
"Five of Hearts | Three of Hearts,15205,1850"
"Four of Hearts | Three of Clubs,24280,2053"
"Ace of Clubs | Four of Spades,24476,4285"
"Eight of Diamonds | Five of Spades,15333,1546"
"King of Spades | Queen of Hearts,15656,2871"
"Queen of Diamonds | Nine of Hearts,15311,2163"
"King of Clubs | Eight of Hearts,24540,3835"
"Eight of Spades | Eight of Clubs,11898,1943"
"Eight of Diamonds | Five of Clubs,24484,2333"
"King of Diamonds | Two of Clubs,24371,2421"
"Five of Hearts | Four of Diamonds,15293,1637"
"Seven of Spades | Six of Diamonds,15507,1748"
"Ace of Diamonds | Four of Spades,15407,2024"
"King of Diamonds | Six of Hearts,15496,1914"
"Queen of Diamonds | Six of Diamonds,15166,2033"
"Queen of Hearts | Five of Diamonds,15531,1672"
"Ten of Hearts | Nine of Hearts,15468,2566"
"Ten of Spades | Six of Clubs,24446,2462"
"Five of Spades | Two of Diamonds,15385,1306"
"Ace of Diamonds | Ten of Hearts,15384,2548"
"Queen of Spades | Seven of Spades,15360,2147"
"Six of Clubs | Three of Clubs,39016,6811"
"King of Clubs | Jack of Hearts,24450,4917"
"Queen of Clubs | Seven of Clubs,39021,9079"
"Jack of Hearts | Three of Diamonds,15374,1480"
"King of Spades | Jack of Clubs,24040,4480"
"Seven of Diamonds | Three of Clubs,24289,1847"
"Ace of Diamonds | Eight of Spades,15376,2222"
"Three of Diamonds | Three of Clubs,11988,1395"
"Eight of Clubs | Four of Hearts,24408,2188"
"Jack of Diamonds | Four of Diamonds,15537,1849"
"Queen of Hearts | Jack of Spades,15323,2543"
"King of Diamonds | Jack of Diamonds,15438,2930"
"King of Spades | Seven of Hearts,15475,1931"
"Eight of Spades | Two of Clubs,24287,1614"
"Six of Diamonds | Five of Spades,15214,1653"
"King of Spades | Five of Clubs,24512,2786"
"King of Hearts | Four of Spades,15492,1689"
"Four of Hearts | Two of Spades,15310,1231"
"King of Hearts | Six of Spades,15342,1817"
"Jack of Clubs | Four of Clubs,38831,7973"
"Ace of Hearts | Five of Spades,15349,2037"
"Nine of Spades | Five of Hearts,15216,1445"
"Six of Spades | Four of Hearts,15487,1559"
"Ten of Spades | Nine of Spades,15300,2546"
"Three of Clubs | Two of Diamonds,24336,1799"
"Seven of Clubs | Six of Clubs,38981,7907"
"King of Clubs | Queen of Clubs,39083,11985"
"Ten of Diamonds | Ten of Hearts,7628,1720"
"King of Spades | Eight of Diamonds,15234,1953"
"Jack of Spades | Seven of Hearts,15173,1863"
"Six of Hearts | Four of Spades,15206,1539"
"Ace of Hearts | Four of Clubs,24440,3143"
"Ace of Hearts | Nine of Diamonds,15385,2249"
"Ten of Hearts | Six of Spades,15454,1621"
"King of Spades | Three of Hearts,15429,1755"
"Seven of Clubs | Three of Clubs,39001,6520"
"Queen of Hearts | Two of Diamonds,15554,1482"
"Four of Spades | Four of Diamonds,7692,1213"
"King of Hearts | Nine of Clubs,24292,3459"
